## Q2 gA dgA
0.000000 1.21592 0.0503618
0.040311 1.16208 0.0399421
0.079746 1.09088 0.0347323
0.117429 1.00753 0.0555716
0.155112 1.01795 0.0590449
0.191042 0.94500 0.0468886
0.227848 0.88422 0.0798842
0.297955 0.84775 0.0590449
0.331256 0.83386 0.0625181
0.365433 0.80607 0.0416787
0.397858 0.77655 0.0312590
0.431159 0.70535 0.0642547
0.462707 0.74356 0.0382055
0.494255 0.69146 0.0538350
0.556475 0.66193 0.1111430
0.586271 0.62373 0.0486252
0.616066 0.63762 0.0712012
0.645862 0.55253 0.0642547
0.674781 0.62373 0.0468886
0.703700 0.60289 0.0503618
0.731743 0.39276 0.1580320
0.787829 0.40144 0.0712012
0.815871 0.50043 0.0729378
0.843038 0.36671 0.1094070
0.869328 0.40144 0.0816208
